pid	genus	hybrid	author	year	seed	pollen
6664#6664	NEOREGELIA	Red Knight	Oeser	<1979	( (carolinae variegated x Hannibal Lecter) x Norman Bates) x Skotak's Tiger	( (carolinae variegated x Hannibal Lecter) x Norman Bates) x Moon over Fort Dix
10796#10796	NEOREGELIA	Red Leopard	Paterson M	2005	Blushing Tiger	Blushing Tiger
6667#6667	NEOREGELIA	Red Lines	Butcher, D.*	?	Blushing Tiger	Blushing Tiger
6668#6668	NEOREGELIA	Red Macaw	? / Catlan, J.*	< 2002	Blushing Tiger	Blushing Tiger
13213#13213	NEOREGELIA	Red MacBlack	Tristram, Peter	2009	Black Opal	MacPink
11987#11987	NEOREGELIA	Red Measles	Vinzant L	circa 2004	Midget	Fireball
13520#13520	NEOREGELIA	Red Mist	Skotak C / E Beach*	2006	[[((carolinae variegated x johannis) x Hannibal Lecter) x (Skotak's Tiger x sp. Gurken Friburgo)] x lilliputiana] x (Mo' Peppa Please x Norman Bates)	Mo' Peppa Please x Norman Bates
6671#6671	NEOREGELIA	Red Moss	Quilhot, H.*	<1978	[[((carolinae variegated x johannis) x Hannibal Lecter) x (Skotak's Tiger x sp. Gurken Friburgo)] x lilliputiana] x (Mo' Peppa Please x Norman Bates)	Mo' Peppa Please x Norman Bates
6672#6672	NEOREGELIA	Red Mouth	Goode	1975	concentrica 'Rosatina'	Beefsteak
6673#6673	NEOREGELIA	Red Nails	Quilhot*?	<1978	johannis?	Beefsteak
6674#6674	NEOREGELIA	Red Ned	Freeman, A., Golinski, K.*	?	'Grace Darling'	'Princess Grace'
6675#6675	NEOREGELIA	Red October	Petersen, S.	1995	'Milagro'	'Gespacho'
6676#6676	NEOREGELIA	Red Of Rio	Ferris, O.*?	<1962	syn. Fireball	'Gespacho'
6677#6677	NEOREGELIA	Red On Green	Carrone	1973	olens 'Marie'	spectabilis
6678#6678	NEOREGELIA	Red On Red	Quilhot, H.*	<1980	olens 'Marie'	carolinae
10585#10585	NEOREGELIA	Red Opal	Skotak C, Tristram P*	2005	carolinae x Skotak's Tiger	Skotak's Tiger
6679#6679	NEOREGELIA	Red Page		<1984	carolinae x Skotak's Tiger	Skotak's Tiger
6680#6680	NEOREGELIA	Red Passion	Paterson M	2001	'Jewellery Shop'	'Flirtation'
6681#6681	NEOREGELIA	Red Peach	Head, O.	1980	carolinae x johannis	carolinae x johannis
6682#6682	NEOREGELIA	Red Pepper	Bullis, H.	<1990	olens??	carolinae x johannis
6683#6683	NEOREGELIA	Red Pine	Morris, W.	<1995	pineliana	Red of Rio
6684#6684	NEOREGELIA	Red Planet	Paterson, M.	1984	'Happy Thoughts'	'Meyendorffii' (v. minor?)
6685#6685	NEOREGELIA	Red Plate	Goode, G.	1974	'Vulkan'	carolinae hybrid
6686#6686	NEOREGELIA	Red Pride	Larnach, R.	<1997	'Meyendorffii' (variegated)	olens 'Marie'
6687#6687	NEOREGELIA	Red Queen		<1979	'Meyendorffii' (variegated)	olens 'Marie'
6688#6688	NEOREGELIA	Red Ribbons	Goode, G.	<1982	'Rio Red'	chlorosticta
6689#6689	NEOREGELIA	Red Ripples		<1979	'Rio Red'	chlorosticta
6690#6690	NEOREGELIA	Red River	Zaghini S.	1996	Marble Throat	Yellow Sand
